Facility_Name,Doctor_Name,Staff_Rating,Punctuality_Rating,Helpfulness_Rating,Knowledge_Rating
Guthrie Gastrenterology And Hepatology,Dr. Karen C. Kim,0,0,0,0
Adam Law,Cynthia Schnedeker,0,0,0,0
Martin Ginsburg Clinic Ithaca,Dr. Martin Ginsburg,0,0,0,0
Mikowski Paul I,Paul I. Mikowski,0,0,0,0
Affiliated Psychological,William J. Hudenko,0,0,0,0
"David S. Frahm, Psychologist",David S. Frahm,4.0,4.0,3.0,3.0
Family Medicine Associates,Dr. Laurel D. Edmundson,0,0,0,0
"Barbara B. Cohen, Phd",Barbara B. Cohen,0,0,0,0
Beachum Gary H Md,Dr. Gary H. Beachum,0,0,0,0
Jake D. Veigel Clinic Ithaca,Dr. Jake D. Veigel,0,0,0,0
Ithaca Cardiology Associates: Brand Malcolm D Md,Dr. Malcom D. Brand,0,0,0,0
Cayuga Ent Head & Neck Surger,Dr. Jonathan E. Cryer,0,0,0,0
Fall Creek Family Dentistry,Dr. Luis T. Mauleon,0,0,0,0
Orthodontics Associates,Dr. Achilles M. Filios,0,0,0,0
Frederick A. Wood Clinic Ithaca,Dr. Frederick A. Wood,0,0,0,0
Radiology Associates Of Ithaca,Dr. Vinitha Kumar,0,0,0,0
Ithaca Oral Surgery & Implant,Dr. Scott Noren,4.75,4.0,4.0,4.5
J Norton Clinic Ithaca,Dr. J Norton,0,0,0,0
Terry J. Starr Clinic Ithaca,Dr. Terry J. Starr,0,0,0,0
Cayuga Family Medicine,Dr. Ellyn P. Sellers-Selin,0,0,0,0
Asthma & Allergy Associates Pc,Dr. Elliot RUBINSTEIN,0,0,0,0
Gregory Subtelny Clinic Ithaca,Dr. Gregory Subtelny,0,0,0,0
Jane M. Hunt Clinic Ithaca,Jane M. Hunt,0,0,0,0
Torin Finver Clinic Ithaca,Torin Finver,0,0,0,0
De Lima Andreia P Md,Dr. Andreia P. De Lima,0,0,0,0
"Sandra Bem, Phd",Sandra Bem,0,0,0,0
Dr. Francis T. Piliero,Dr. Francis T. Piliero,0,0,0,0
Cayuga Comprehensive Psychological,Jed H. Weitzen,1.6666666666666667,2.6666666666666665,1.6666666666666667,1.8333333333333333
Orthodontic Group Finger Lakes,Dr. Robert W. Baker,0,0,0,0
Miller Karen E Md,Dr. Karen E. Miller,0,0,0,0
Robert T Horn Jr Medical,Dr. Josephine C. Mcallister,2.625,2.9375,2.5625,2.8125
Wallace Baker Clinic Ithaca,Dr. Wallace Baker,0,0,0,0
Ithaca Cardiology Associates,Dr. Paul Stefek,3.5,3.0,4.0,5.0
Gastroenterology Associates Pc,Dr. Peter T. Brennan,2.8,2.6,1.6,2.6
"Vicki Gayle, Pt",Dr. Vicki Gayle,0,0,0,0
Tompkins Community Chiro,Dr. Randall H. Corey,0,0,0,0
Wallace Larry Od,Dr. Larry B. Wallace,0,0,0,0
Arrowhead Emergency Physicians,Dr. Yechiel A. Reit,0,0,0,0
Applied Psychophysiology Services,Edward D. Sorel,0,0,0,0
Ball State Women's Center,Dr. Kent Bullis,5.0,5.0,5.0,5.0
Toal Thomas M Md,Dr. Thomas M. Toal,0,0,0,0
Wendy D. Frickel Clinic Ithaca,Dr. Wendy D. Frickel,0,0,0,0
Morpurgo Andrew J Office,Dr. Melissa W. Thibault,0,0,0,0
Rao Rajaram Md,Dr. Rajaram Rao,0,0,0,0
Gastroenterology Associates Of Ithaca,Dr. Carl West,5.0,5.0,5.0,5.0
Aliasghar Mohyuddin Clinic Ithaca,Dr. Aliasghar Mohyuddin,0,0,0,0
Podiatry Services Of Ithaca,Dr. Victor Villagonzalo,2.6666666666666665,3.0,2.3333333333333335,2.3333333333333335
Stephen Meyer Clinic Ithaca,Dr. Stephen Meyer,0,0,0,0
Stephen Hughes Clinic Ithaca,Dr. Stephen Hughes,0,0,0,0
Gannett Health Services,Gregory Eells,0,0,0,0
Gannett Health Center,Dr. Janet Corson-Rikert,0,0,0,0
Gannett Health Services,Sharon Mier,1.0,1.0,1.0,1.0
Convenient Care Center,Dr. James L. Darling,0,0,0,0
Tompkins Dental Health,Dr. Michael Stahl,0,0,0,0
Jessie Varghese Phillips Clinic Ithaca,Dr. Jessie Varghese Phillips,0,0,0,0
Arrowhead Emergency Physicians,Dr. Shannon Mclellan,0,0,0,0
Zager Joanne Phd,Joanne Zager,0,0,0,0
Court St. Chiropractic Of Ithaca,Dr. Patti L. Jacobson,0,0,0,0
East Shore Dental Care,Dr. Janice H. Ormsby,5.0,4.0,5.0,5.0
Cotton Elisabeth Md,Dr. Elizabeth M. Cotton,4.285714285714286,4.428571428571429,4.571428571428571,4.714285714285714
David J. Skorton Clinic Ithaca,Dr. David J. Skorton,0,0,0,0
Brian Babiak M.d.,Dr. Brian D. Babiak,3.5,3.5,3.25,3.5
Surgical Associates Of Ithaca,Dr. William H. Phillips,5.0,5.0,5.0,5.0
Stevanovic Radomir Md,Dr. Radomir D. Stevanovic,0,0,0,0
Ithaca Orthopaedic Group Pc,Dr. Eldridge T. Anderson,5.0,3.8,2.8,3.2
Tompkins Dental Health,Dr. Raminder Singh,5.0,4.0,4.5,4.25
Veronica Guiry Clinic Ithaca,Dr. Veronica Guiry,5.0,3.0,4.5,4.5
John Weston Clinic Ithaca,Dr. John Weston,0,0,0,0
Cacciotti Leo R Dds,Dr. Leo R. Cacciotti,0,0,0,0
Purdy Chris Dds,Dr. Chris B. Purdy,0,0,0,0
Robert N. Rodgers Clinic Ithaca,Robert N. RODGERS,0,0,0,0
Guthrie Internal Medicine,Dr. Aliasghar A. Mohyuddin,3.642857142857143,3.7857142857142856,3.357142857142857,3.4285714285714284
"Dolly D. Shaffer, Psyd",Dolly D. Shaffer,0,0,0,0
"Ellen Cohen-Rosenthal, Psyd",Ellen Cohen-Rosenthal,0,0,0,0
Linda Radomski Clinic Ithaca,Dr. Linda Radomski,4.416666666666667,4.166666666666667,3.0833333333333335,3.6666666666666665
Paul T. Schwartz Clinic Ithaca,Dr. Paul T. Schwartz,0,0,0,0
Richard B. Rhodes Clinic Ithaca,Dr. Richard B. Rhodes,0,0,0,0
Ithaca Urology,Dr. Sami T. Husseini,2.0,2.0,1.0,3.0
Asthma & Allergy Associates Pc,Dr. Mary Jane Welch,0,0,0,0
Haltom Cristen E Phd,Cristen E. Haltom,0,0,0,0
Cayuga Ent Head & Neck Surger,Dr. Robert N. Strominger,2.2,3.0,2.2,2.8
Ithaca Family Chiropractic,Dr. Brian Bartholomew,0,0,0,0
Pancaldo Mia,Mia Pancaldo,0,0,0,0
Timothy M. Cardina Clinic Ithaca,Dr. Timothy M. Cardina,4.0,4.0,4.0,4.0
Ob-Gyn Associates Of Ithaca,Dr. Kathleen E. Gardner,0,0,0,0
David Monacelli Clinic Ithaca,Dr. David Monacelli,0,0,0,0
"Susan L. Wiser, Phd",Susan L. Wiser,0,0,0,0
Chris Devenpeck Clinic Ithaca,Dr. Chris Devenpeck,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665
John E. Mericle Clinic Ithaca,Dr. John E. Mericle,0,0,0,0
Orthopedic Surgery & Sports Medicine,Dr. Karen M. Dumont,4.0,5.0,4.0,5.0
Abelson Edward G Phd,Edward G. Abelson,0,0,0,0
"Dr. Andrew R. Getzin, Md",Dr. Bert Lemberg,0,0,0,0
Sarah E. Champion Clinic Ithaca,Sarah E. Champion,0,0,0,0
Leia Raphaelidis Clinic Ithaca,Leia Raphaelidis,0,0,0,0
Cayuga Family Dental Llc,Dr. Loveena Gupta,1.875,2.6875,1.5625,1.875
Sarah M. Markowitz Clinic Ithaca,Sarah M. Markowitz,0,0,0,0
Morse Christina,Christina D. Morse,0,0,0,0
Orthopedic Services Of Cma: Young Kimberly Ca Md,Dr. Kimberly Young,0,0,0,0
Mira S. Svatovic Clinic Ithaca,Mira S. Svatovic,0,0,0,0
Jennifer M. Whittaker Clinic Ithaca,Jennifer M. Whittaker,0,0,0,0
C. Henry Larson Clinic Ithaca,Dr. C. Henry Larson,0,0,0,0
"Brenda Drew, Np",Brenda Drew,0,0,0,0
Huang Jeffrey Dds,Dr. Jeffrey Huang,0,0,0,0
Cayuga Medical Associates,Marianne D. Varn,0,0,0,0
Wood Barbara A,Barbara A. Wood,0,0,0,0
Dennis J. Gould Clinic Ithaca,Dr. Dennis J. Gould,5.0,5.0,5.0,5.0
Barbara Armstrong Clinic Ithaca,Barbara Armstrong,0,0,0,0
Jessie M. Fisk Clinic Ithaca,Jessie M. Fisk,0,0,0,0
"Deanna H. Berman, Nd",Deanna Berman,0,0,0,0
"Deanna H. Berman, Nd",Deanna Berman,0,0,0,0
Elizabeth Hess Clinic Ithaca,Elizabeth Hess,0,0,0,0
Anne D. Neirynck Clinic Ithaca,Anne D. Neirynck,0,0,0,0
"Guthrie Occupational Medicine: Robert Reed, Md Mph",Dr. Robert Reed,0,0,0,0
Cronk Pamela,Pamela Cronk,0,0,0,0
Zsofia Franck Clinic Ithaca,Zsofia Franck,5.0,5.0,5.0,5.0
Opti Vision Of Ithaca,Dr. Bohdan Jemetz,0,0,0,0
Carrie L. Goodrich Clinic Ithaca,Carrie L. Goodrich,0,0,0,0
Orthopedic Services Of Cma,Dr. Kimberly Carney Young,5.0,4.0,5.0,5.0
Elizabeth Gebhart H. Gebhart Clinic Ithaca,Elizabeth Gebhart H. Gebhart,0,0,0,0
Radiology Associates Of Ithaca,Dr. Lawrence S. Sheiman,0,0,0,0
Oliver Candice M Do,Dr. Candice M. Oliver,0,0,0,0
"Ithaca Orthodontics, Stephen O. Hand, Dmd",Dr. Stephen O. Hand,0,0,0,0
Richard & Mc Cutcheon,Dr. Elizabeth M. Noel,5.0,5.0,5.0,5.0
Laurentz Robert Phd,Robert Laurentz,0,0,0,0
"Deanna H. Berman, Nd",Deanna H. Berman,3.375,3.875,3.125,3.875
Xue-Cheng Shang Clinic Ithaca,Xue-Cheng Shang,0,0,0,0
"Yuyan Wang, Phd",Yuyan Wang,0,0,0,0
Richards And Mccutcheon,Dr. James R. McCutcheon,5.0,5.0,5.0,5.0
Tree Of Life Health And Wellness,Dr. Joseph Morse,0,0,0,0
I Dental Spa,Dr. Ira K. Kamp,5.0,5.0,5.0,5.0
Matuszak Ellen E Dc,Dr. Ellen E. Matuszak,0,0,0,0
"Jennifer Orleans, Phd",Jennifer Orleans,0,0,0,0
Court Street Dental,Dr. David L. Heck,0,0,0,0
Frederick M. Barken Clinic Ithaca,Dr. Frederick M. Barken,0,0,0,0
Peter Schwartz,Dr. Amy K. Boscia,0,0,0,0
Duthie & Subtelny,Dr. Robert C. Duthie,0,0,0,0
Jonathan Ames Clinic Ithaca,Jonathan Ames,0,0,0,0
Buttermilk Falls Pediatrics,Dr. John Y. LAMBERT,0,0,0,0
Arleo Eye Associates,Dr. Tamara Stockwin,0,0,0,0
Flanagan Joseph W Md,Dr. Joseph W. FLANAGAN,0,0,0,0
Orthopedic Services Of Cma,Dr. Dirk H. Dugan,3.0,1.0,1.0,1.0
Bruce Greene Clinic Ithaca,Dr. Bruce Greene,0,0,0,0
Hannon Peter Do,Dr. Peter Hannon,0,0,0,0
Northeast Family Dental,Dr. Marina R. Manunts,5.0,5.0,5.0,5.0
Richard Murray Clinic Ithaca,Dr. Richard Murray,0,0,0,0
Internal Medicine Of Ithaca,Dr. Muhammad A. Wattoo,0,0,0,0
Karen Laface Clinic Ithaca,Dr. Karen Laface,0,0,0,0
Gastroenterology Associates Of Ithaca,Dr. Steven Rogers,0,0,0,0
Burton S. Markowitz Clinic Ithaca,Dr. Burton S. Markowitz,5.0,5.0,5.0,5.0
Gastroenterology Associates Pc,Dr. Brent D. Lemberg,3.5,4.0,4.0,4.0
Osteopathy Matters,Dr. Maria K. Gentry,5.0,5.0,5.0,5.0
Northeast Pediatrics,Dr. Marguerite H. Uphoff,0,0,0,0
Dhhs Phs Naihs Shiprock Hospital,Dr. Katherine H. Zang,0,0,0,0
Retired,Dr. Anne Neirynck,0,0,0,0
Tim D. Bonniwell Clinic Ithaca,Dr. Tim D. Bonniwell,5.0,5.0,5.0,5.0
Reconstruction Home Inc,Dr. Jennifer Weinraub,0,0,0,0
Jones Cynthia B Md,Dr. Cynthia B. Jones,2.0,3.0,1.0,2.0
Cayuga Neurologic Services,Dr. Jody M. Stackman,4.5,4.5,3.0,4.25
Empire Vision Center,Dr. Christopher J. Jester,0,0,0,0
Asthma & Allergy Associates,Dr. Mariah M. Pieretti,0,0,0,0
Gannett Health Services,Wai-Kwong Wong,0,0,0,0
Desilva Audrey Md,Dr. Audrey H. Desilva,0,0,0,0
Cayuga Anesthesia Associates,Dr. David M. Feldshuh,0,0,0,0
Surgical Associates Of Ithaca,Dr. David A. Schwed,4.0,4.0,5.0,5.0
Ithaca Orthopaedic Group Pc,Dr. Bruce L. Greene,4.4,4.4,3.6,4.0
Foster Cora,Dr. Cora L. Foster,0,0,0,0
Cayuga Women's Health,Dr. Jose A. Torrado,3.2,3.4,2.4,2.4
Robinson Robyn Md,Dr. Robyn C. Robinson,5.0,5.0,1.0,2.0
Planned Parenthood Of The Southern Finger Lakes,Dr. Joyce Leslie,0,0,0,0
Louis Munchmeyer Clinic Ithaca,Dr. Louis Munchmeyer,5.0,5.0,5.0,5.0
Kenneth O. Hill Clinic Ithaca,Dr. Kenneth O. Hill,4.0,4.0,5.0,5.0
Torin J. Finver Clinic Ithaca,Dr. Torin J. Finver,5.0,4.75,4.25,4.25
"Harry Segal, Phd",Harry Segal,0,0,0,0
Independent Medical Consulting,Dr. Walter Levy,2.5,2.5,3.0,3.0
Amie E. Kennedy Clinic Ithaca,Amie E. Kennedy,0,0,0,0
Ob-Gyn Associates Of Ithaca,Dr. Fadi N. Makhlouf,0,0,0,0
Dorothy P. Ambis Clinic Ithaca,Dr. Dorothy P. Ambis,0,0,0,0
Family Medicine Associates,Dr. Lloyd A. Darlow,4.375,4.125,4.0,4.375
Kimberly Silvers Clinic Ithaca,Dr. Kimberly Silvers,0,0,0,0
Franziska Racker Centers,Dr. Charles Meyer,0,0,0,0
Ob-Gyn Associates Of Ithaca,Dr. Ernest J. Fogel,0,0,0,0
Ithaca Cardiology Associates: Singh Amit K Md,Dr. Amit K. Singh,3.0,2.75,2.0,2.5
Morpurgo Andrew J Office,Dr. Andrew Morpugo,3.0,2.5,2.5,3.0
Guthrie Clinic,Dr. Bruce Leslie Kuntz,4.0,4.0,2.6666666666666665,3.0
Guthrie Internal Medicine,Dr. Ruth C. Crepet,4.25,4.0,3.0,2.75
Gannett Health Services,Dr. Anna Matusiewicz,0,0,0,0
Joan A. Filler Clinic Ithaca,Dr. Joan A. Filler,2.0,1.0,1.0,1.0
Costello & Costello,Dr. Lucia Jander,0,0,0,0
Tompkins County Mental Health,Dr. Gerard P. Lippert,5.0,5.0,5.0,5.0
Joan M. Sullivan Clinic Ithaca,Dr. Joan M. Sullivan,0,0,0,0
Racker Audiology Clinic,"Dr. Monica Brace Van Houten, Au.D.",0,0,0,0
Amarpreet Singh Clinic Ithaca,Dr. Amarpreet Singh,1.0,1.0,2.0,1.0
"Dr. Andrew R. Getzin, Md",Dr. Radomir Stevanic,0,0,0,0
Guthrie Family Medicine,Marcia L. Beckley,0,0,0,0
Robert T Horn Jr Medical,Dr. Robert T. Horn,0,0,0,0
Zang Douglas M Md,Dr. Douglas M. Zang,4.0,5.0,5.0,5.0
Andrew Russell Clinic Ithaca,Dr. Andrew Russell,0,0,0,0
A Caring Opthalmology Center,Dr. Ralph M. Bishop,5.0,3.0,5.0,5.0
Cayuga Anesthesia Associates,Dr. Donald G. Bluh,1.0,1.0,1.0,1.0
Cayuga Anesthesia Associates,Dr. Robert L. Mitchell,0,0,0,0
Cayuga Anesthesia Associates,Dr. J. RUSSELL Norton,5.0,5.0,5.0,5.0
Celia H. Elbrecht Clinic Ithaca,Dr. Celia H. Elbrecht,4.5,4.0,5.0,5.0
Hassan Humaira Md,Dr. Humaira Hassan,3.6,4.0,2.6,2.8
Crossroad Chiropractic Clinic,Dr. Jaclyn B. Maher,0,0,0,0
Charlene Lohmueller Clinic Ithaca,Dr. Charlene Lohmueller,0,0,0,0
Sharp Kay C,Kay C. Sharp,0,0,0,0
Strayhorn Joseph,Dr. Joseph Strayhorn,0,0,0,0
"Mark F. Lenzenweger, Phd",Mark F. Lenzenweger,0,0,0,0
Lisa M. Benedetto Clinic Ithaca,Lisa M. Benedetto,0,0,0,0
Ob-Gyn Associates Of Ithaca,Dr. Zohreh Nikkhah Abyaneh,3.4285714285714284,3.7142857142857144,3.7142857142857144,3.7142857142857144
Mark W. Welsh Clinic Ithaca,Dr. Mark W. WELSH,0,0,0,0
Patricia Foster Clinic Ithaca,Patricia Foster,0,0,0,0
Murphy Mary L,Eamonn W. Murphy,0,0,0,0
Pane Jr Anthony Phd,Anthony J. PANE,0,0,0,0
"Sharron Thrasher, Phd",Sharron Thrasher,0,0,0,0
Elizabeth F. Carey Clinic Ithaca,Elizabeth F. CAREY,0,0,0,0
Bernard Member Md Pllc,Dr. Bernard Member,1.0,1.0,1.0,1.0
Retired,Ashtarra Brissette,0,0,0,0
Radiology Associates Of Ithaca,Dr. Frank C. Cole,0,0,0,0
Tien Stephen S,Stephen S. Tien,0,0,0,0
Gardner Richard Dds,Dr. Richard A. Gardner,0,0,0,0
Lodewijk A. Magre Clinic Ithaca,Dr. Lodewijk A. Magre,0,0,0,0
"Monica Daniel, Cnm",Monica DANIEL,0,0,0,0
Michael A. Persoleo Clinic Ithaca,Dr. Michael A. Persoleo,0,0,0,0
John S. Tashman Clinic Ithaca,Dr. John S. Tashman,0,0,0,0
Mack Linda,Linda T. Mack,0,0,0,0
Providence Psychiatry,Dr. Nanette M. Dowling,4.0,5.0,5.0,5.0
Abby Manol Clinic Ithaca,Dr. Abby Manol,0,0,0,0
Graham L. Ottoson Clinic Ithaca,Graham L. Ottoson,0,0,0,0
"Marie Harkins, Cnm",Marie Harkins,0,0,0,0
"Anthony Fazio, Lac",Anthony Fazio,0,0,0,0
Retired,Karen Fried,0,0,0,0
Katarzyna Z. Komorowska Clinic Ithaca,Dr. Katarzyna Z. Komorowska,0,0,0,0
John E. Ziegler Clinic Ithaca,Dr. John E. ZIEGLER,0,0,0,0
Acahti Dental,Dr. Betsy L. Peterson,5.0,4.0,5.0,5.0
Sandra Thananart Clinic Ithaca,Dr. Sandra Thananart,0,0,0,0
Tompkins Dental,Dr. Ralph C. Beaton,0,0,0,0
Charles Meyer Clinic Ithaca,Dr. Charles Meyer,0,0,0,0
"William Wittlin, M.d.",Dr. William A. Wittlin,2.75,3.25,2.25,2.5
Bartholomew Family Chiropractic Llc,Dr. Brian M. Bartholomew,5.0,5.0,5.0,5.0
Orthodontic Group Finger Lakes,Dr. John D. Duthie,0,0,0,0
"Emily G. Rieffel, Lic",Emily G. Rieffel,0,0,0,0
Emerging Vision,Dr. Paul T. Kempkes,0,0,0,0
Guthrie Medical Group,Dr. Alica Rucekova,0,0,0,0
Feinstein Howard M Md,Dr. Howard M. Feinstein,4.0,4.0,3.0,3.0
"Hart, Dr. Paul B",Dr. Paul B. Hart,0,0,0,0
Tree Of Life Health & Wellness,Dr. Laura E. Morse,0,0,0,0
Elizabeth F. Plocharczyk Clinic Ithaca,Dr. Elizabeth F. Plocharczyk,0,0,0,0
Murphy Mary L,Mary L. Murphy,0,0,0,0
Cayuga Medical Center,Dr. Russell R. Zelko,5.0,4.5,5.0,5.0
Cayuga Medical Center,Dr. Viola P. Monaghan,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665
Cayuga Medical Center,Dr. Robert J. Breiman,3.8333333333333335,3.1666666666666665,3.0,3.5
Retired,Catherine Latham,0,0,0,0
Cayuga Medical Center,Dr. David M. Monacelli,3.25,3.5,3.0,2.75
Cayuga Medical Center,Dr. Walter E. Margie,3.0,3.0,2.4,2.6
Cayuga Medical Center,Dr. Ann R. Costello,2.0,1.0,2.0,2.0
Cayuga Medical Center,Dr. Robert A. Hesson,0,0,0,0
Cayuga Medical Center,Dr. Yasmeen A. Moody,0,0,0,0
Cayuga Medical Center,Dr. William A. Klepack,0,0,0,0
Cayuga Medical Center,Dr. Leonard Newton,5.0,3.0,3.0,3.0
Cayuga Medical Center,Dr. Guillermo E. Ferrer,5.0,5.0,5.0,5.0
Cayuga Medical Center,Dr. Robert B. Kaplan,5.0,2.3333333333333335,3.3333333333333335,3.3333333333333335
